restart_count,cpu_usage_pct,memory_usage_pct,pod_ready,last_exit_code,waiting_reason,oom_killed_count,image_pull_errors,failed_scheduling_events,readiness_probe_failures,label
1,22.0,94.1,0,137,Error,2,0,0,2,oom_killed
0,12.9,11.5,0,0,ErrImagePull,0,5,0,0,image_pull_error
0,8.7,16.3,0,0,ErrImagePull,0,5,0,0,image_pull_error
14,78.4,87.5,0,1,CrashLoopBackOff,0,0,0,7,crash_loop
0,20.7,49.6,1,0,None,0,0,0,0,healthy
1,11.9,16.7,0,0,Pending,0,0,4,0,scheduling_failure
0,14.8,50.6,1,0,None,0,0,0,0,healthy
0,46.7,75.6,0,0,Error,0,0,0,3,probe_failure
1,48.1,55.9,0,1,Running,0,0,0,9,probe_failure
0,30.5,48.4,1,0,None,0,0,0,0,healthy
3,38.3,56.5,0,0,Error,0,0,0,6,probe_failure
0,33.4,64.6,1,0,None,0,0,0,0,healthy
1,61.0,85.3,0,137,Error,1,0,0,3,oom_killed
0,50.1,58.9,1,0,None,0,0,0,0,healthy
0,7.4,23.0,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
2,59.3,61.4,0,1,Error,0,0,0,4,probe_failure
0,6.4,10.5,0,0,Unschedulable,0,0,4,0,scheduling_failure
5,66.8,74.5,0,1,CrashLoopBackOff,0,0,0,5,crash_loop
0,2.3,14.2,0,0,Unschedulable,0,0,8,0,scheduling_failure
4,33.4,56.7,0,1,Running,0,0,0,9,probe_failure
1,40.9,39.2,1,0,None,0,0,0,0,healthy
0,0.0,11.8,0,0,Unschedulable,0,0,2,1,scheduling_failure
1,11.0,18.4,0,0,ErrImagePull,0,5,0,1,image_pull_error
4,63.8,88.1,0,137,OOMKilled,2,0,0,4,oom_killed
0,22.5,28.6,1,0,None,0,0,0,0,healthy
0,18.9,14.9,0,0,ImagePullBackOff,0,6,0,0,image_pull_error
11,68.2,60.9,0,1,CrashLoopBackOff,0,0,0,6,crash_loop
1,4.7,27.1,0,0,Unschedulable,0,0,8,1,scheduling_failure
0,10.1,15.4,0,0,ErrImagePull,0,6,0,0,image_pull_error
3,63.9,87.5,0,137,OOMKilled,4,0,0,4,oom_killed
0,9.2,22.8,0,1,ImagePullBackOff,0,5,0,0,image_pull_error
3,53.6,60.7,0,1,Error,0,0,0,7,probe_failure
7,62.1,60.9,0,1,CrashLoopBackOff,0,0,0,8,crash_loop
1,14.1,13.3,0,0,ImagePullBackOff,0,3,0,0,image_pull_error
1,46.9,63.0,0,1,Running,0,0,0,11,probe_failure
0,0.0,17.9,0,0,ImagePullBackOff,0,7,0,1,image_pull_error
2,33.4,92.0,0,137,OOMKilled,2,0,0,2,oom_killed
0,3.0,51.1,1,0,None,0,0,0,0,healthy
0,8.2,21.9,0,0,Unschedulable,0,0,5,1,scheduling_failure
0,27.4,49.8,1,0,None,0,0,0,1,healthy
3,48.6,74.3,0,1,Running,0,0,0,7,probe_failure
2,60.5,87.5,0,137,OOMKilled,4,0,0,1,oom_killed
3,49.4,47.4,0,0,Error,0,0,0,4,probe_failure
4,31.0,88.3,0,137,OOMKilled,2,0,0,0,oom_killed
1,35.6,44.4,0,1,Error,0,0,0,7,probe_failure
3,41.2,97.8,0,137,OOMKilled,2,0,0,2,oom_killed
1,59.2,100.0,0,137,Error,2,0,0,2,oom_killed
0,19.5,36.5,1,0,None,0,0,0,0,healthy
0,15.5,45.3,1,0,None,0,0,0,0,healthy
0,8.6,21.5,0,0,Pending,0,0,8,1,scheduling_failure
4,72.1,93.2,0,137,OOMKilled,0,0,0,2,oom_killed
0,6.7,18.9,0,0,ImagePullBackOff,0,3,0,0,image_pull_error
0,24.5,32.1,1,0,None,0,0,0,0,healthy
1,14.6,23.6,0,0,ErrImagePull,0,4,0,1,image_pull_error
3,24.8,46.4,0,1,Running,0,0,0,6,probe_failure
12,56.3,49.9,0,1,CrashLoopBackOff,0,0,0,5,crash_loop
0,7.8,20.0,0,0,ImagePullBackOff,0,9,0,0,image_pull_error
2,40.2,76.1,0,1,Running,0,0,0,4,probe_failure
0,62.4,97.2,0,137,Error,4,0,0,1,oom_killed
0,2.5,16.4,0,0,Pending,0,0,4,0,scheduling_failure
1,5.2,15.1,0,0,ErrImagePull,0,6,0,0,image_pull_error
1,10.6,17.9,0,0,Pending,0,0,5,0,scheduling_failure
1,13.8,21.3,0,0,Unschedulable,0,0,7,0,scheduling_failure
0,0.9,13.0,0,0,ErrImagePull,0,8,0,0,image_pull_error
0,6.1,13.8,0,1,ErrImagePull,0,5,0,0,image_pull_error
7,85.5,89.3,0,2,Error,0,0,0,3,crash_loop
5,87.7,77.0,0,1,Error,0,0,0,6,crash_loop
15,81.0,78.9,0,1,Error,0,0,0,2,crash_loop
0,0.0,15.7,0,0,Pending,0,0,4,0,scheduling_failure
10,81.9,52.1,0,1,Error,0,0,0,5,crash_loop
0,7.4,11.3,0,0,Unschedulable,0,0,6,0,scheduling_failure
1,68.4,60.8,0,1,CrashLoopBackOff,0,0,0,5,crash_loop
2,29.0,60.1,0,0,Error,0,0,0,7,probe_failure
0,9.6,11.2,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
4,53.6,90.9,0,137,Error,2,0,0,1,oom_killed
2,51.0,52.6,0,1,Error,0,0,0,5,probe_failure
11,78.3,67.2,0,1,Error,0,0,0,3,crash_loop
7,71.1,76.0,0,1,Error,0,0,0,2,crash_loop
0,16.3,65.5,1,0,None,0,0,0,0,healthy
3,61.0,86.6,0,137,Error,6,0,0,3,oom_killed
1,27.3,22.6,1,0,None,0,0,0,0,healthy
6,87.7,66.4,0,1,CrashLoopBackOff,0,0,0,5,crash_loop
0,5.3,22.5,0,0,ErrImagePull,0,7,0,0,image_pull_error
0,8.5,15.1,0,0,Pending,0,0,9,0,scheduling_failure
2,58.7,69.7,0,1,Error,0,0,0,7,probe_failure
7,80.4,72.7,0,0,Error,0,0,0,1,crash_loop
